PassengerId,Survived,Title,First_Name,Last_Name,Sex,Age,Binned_Age,SibSp,Parch,Ticket,Pclass,Embarked,HasCabin,Fare,Binned_Fare
100,0,Mr,Sinai,Kantor,male,34.0,Young Adult,1,0,244367,2,S,0,26.0,high
101,0,Miss,Matilda,Petranec,female,28.0,Young Adult,0,0,349245,3,S,0,7.8958,low
102,0,Mr,"Pastcho (""Pentcho"")",Petroff,male,28.0,Young Adult,0,0,349215,3,S,0,7.8958,low
103,0,Mr,Richard Frasar,White,male,21.0,Young Adult,0,1,35281,1,S,1,77.2875,very high
104,0,Mr,Gustaf Joel,Johansson,male,33.0,Young Adult,0,0,7540,3,S,0,8.6542,medium
105,0,Mr,Anders Vilhelm,Gustafsson,male,37.0,Adult,2,0,3101276,3,S,0,7.925,low
106,0,Mr,Stoytcho,Mionoff,male,28.0,Young Adult,0,0,349207,3,S,0,7.8958,low
107,1,Miss,Anna Kristine,Salkjelsvik,female,21.0,Young Adult,0,0,343120,3,S,0,7.65,low
108,1,Mr,Albert Johan,Moss,male,28.0,Young Adult,0,0,312991,3,S,0,7.775,low
109,0,Mr,Tido,Rekic,male,38.0,Adult,0,0,349249,3,S,0,7.8958,low
110,1,Miss,Bertha,Moran,female,28.0,Young Adult,1,0,371110,3,Q,0,24.15,high
111,0,Mr,Walter Chamberlain,Porter,male,47.0,Adult,0,0,110465,1,S,1,52.0,very high
112,0,Miss,Hileni,Zabour,female,14.5,Teenager,1,0,2665,3,C,0,14.4542,medium
113,0,Mr,David John,Barton,male,22.0,Young Adult,0,0,324669,3,S,0,8.05,medium
114,0,Miss,Katriina,Jussila,female,20.0,Young Adult,1,0,4136,3,S,0,9.825,medium
115,0,Miss,Malake,Attalah,female,17.0,Teenager,0,0,2627,3,C,0,14.4583,high
116,0,Mr,Edvard,Pekoniemi,male,21.0,Young Adult,0,0,STON/O 2 3101294,3,S,0,7.925,low
117,0,Mr,Patrick,Connors,male,70.5,Senior,0,0,370369,3,Q,0,7.75,low
118,0,Mr,William John Robert,Turpin,male,29.0,Young Adult,1,0,11668,2,S,0,21.0,high
119,0,Mr,Quigg Edmond,Baxter,male,24.0,Young Adult,0,1,PC 17558,1,C,1,247.5208,very high
120,0,Miss,Ellis Anna Maria,Andersson,female,2.0,Infant,4,2,347082,3,S,0,31.275,high
121,0,Mr,Stanley George,Hickman,male,21.0,Young Adult,2,0,SOC 14879,2,S,0,73.5,very high
122,0,Mr,Leonard Charles,Moore,male,28.0,Young Adult,0,0,A4 54510,3,S,0,8.05,medium
123,0,Mr,Nicholas,Nasser,male,32.5,Young Adult,1,0,237736,2,C,0,30.0708,high
124,1,Miss,Susan,Webber,female,32.5,Young Adult,0,0,27267,2,S,1,13.0,medium
125,0,Mr,Percival Wayland,White,male,54.0,Middle Aged,0,1,35281,1,S,1,77.2875,very high
126,1,Master,Elias,Nicola-Yarred,male,12.0,Child,1,0,2651,3,C,0,11.2417,medium
127,0,Mr,Martin,McMahon,male,28.0,Young Adult,0,0,370372,3,Q,0,7.75,low
128,1,Mr,Fridtjof Arne,Madsen,male,24.0,Young Adult,0,0,C 17369,3,S,0,7.1417,low
129,1,Miss,Anna,Peter,female,28.0,Young Adult,1,1,2668,3,C,1,22.3583,high
130,0,Mr,Johan,Ekstrom,male,45.0,Adult,0,0,347061,3,S,0,6.975,low
131,0,Mr,Jozef,Drazenoic,male,33.0,Young Adult,0,0,349241,3,C,0,7.8958,low
132,0,Mr,Domingos Fernandeo,Coelho,male,20.0,Young Adult,0,0,SOTON/OQ 3101307,3,S,0,7.05,low
133,0,Mrs,Grace Charity Laury,Robins,female,47.0,Adult,1,0,A/5 3337,3,S,0,14.5,high
134,1,Mrs,Mathilde Francoise Pede,Weisz,female,29.0,Young Adult,1,0,228414,2,S,0,26.0,high
135,0,Mr,Samuel James Hayden,Sobey,male,25.0,Young Adult,0,0,CA 29178,2,S,0,13.0,medium
136,0,Mr,Emile,Richard,male,23.0,Young Adult,0,0,SC/PARIS 2133,2,C,0,15.0458,high
137,1,Miss,Helen Monypeny,Newsom,female,19.0,Teenager,0,2,11752,1,S,1,26.2833,high
138,0,Mr,Jacques Heath,Futrelle,male,37.0,Adult,1,0,113803,1,S,1,53.1,very high
139,0,Mr,Olaf Elon,Osen,male,16.0,Teenager,0,0,7534,3,S,0,9.2167,medium
140,0,Mr,Victor,Giglio,male,24.0,Young Adult,0,0,PC 17593,1,C,1,79.2,very high
141,0,Mrs,Sultana,Boulos,female,28.0,Young Adult,0,2,2678,3,C,0,15.2458,high
142,1,Miss,Anna Sofia,Nysten,female,22.0,Young Adult,0,0,347081,3,S,0,7.75,low
143,1,Mrs,Elin Matilda Dolck,Hakkarainen,female,24.0,Young Adult,1,0,STON/O2 3101279,3,S,0,15.85,high
144,0,Mr,Jeremiah,Burke,male,19.0,Teenager,0,0,365222,3,Q,0,6.75,low
145,0,Mr,Edgardo Samuel,Andrew,male,18.0,Teenager,0,0,231945,2,S,0,11.5,medium
146,0,Mr,Joseph Charles,Nicholls,male,19.0,Teenager,1,1,CA 33112,2,S,0,36.75,very high
147,1,Mr,"August Edvard (""Wennerstrom"")",Andersson,male,27.0,Young Adult,0,0,350043,3,S,0,7.7958,low
148,0,Miss,"Robina Maggie ""Ruby""",Ford,female,9.0,Child,2,2,W/C 6608,3,S,0,34.375,very high
149,0,Mr,"Michel (""Louis M Hoffman"")",Navratil,male,36.5,Adult,0,2,230080,2,S,1,26.0,high
150,0,Rev,Thomas Roussel Davids,Byles,male,42.0,Adult,0,0,244310,2,S,0,13.0,medium
151,0,Rev,Robert James,Bateman,male,51.0,Middle Aged,0,0,SOP 1166,2,S,0,12.525,medium
152,1,Mrs,Edith Wearne,Pears,female,22.0,Young Adult,1,0,113776,1,S,1,66.6,very high
153,0,Mr,Alfonzo,Meo,male,55.5,Middle Aged,0,0,A5 11206,3,S,0,8.05,medium
154,0,Mr,Austin Blyler,van Billiard,male,40.5,Adult,0,2,A/5 851,3,S,0,14.5,high
155,0,Mr,Ole Martin,Olsen,male,28.0,Young Adult,0,0,Fa 265302,3,S,0,7.3125,low
156,0,Mr,Charles Duane,Williams,male,51.0,Middle Aged,0,1,PC 17597,1,C,0,61.3792,very high
157,1,Miss,"Katherine ""Katie""",Gilnagh,female,16.0,Teenager,0,0,35851,3,Q,0,7.7333,low
158,0,Mr,Harry,Corn,male,30.0,Young Adult,0,0,SOTON/OQ 392090,3,S,0,8.05,medium
159,0,Mr,Mile,Smiljanic,male,28.0,Young Adult,0,0,315037,3,S,0,8.6625,medium
160,0,Master,Thomas Henry,Sage,male,28.0,Young Adult,8,2,CA 2343,3,S,0,69.55,very high
161,0,Mr,John Hatfield,Cribb,male,44.0,Adult,0,1,371362,3,S,0,16.1,high
162,1,Mrs,"Elizabeth ""Bessie"" Inglis Milne",Watt,female,40.0,Adult,0,0,CA 33595,2,S,0,15.75,high
163,0,Mr,John Viktor,Bengtsson,male,26.0,Young Adult,0,0,347068,3,S,0,7.775,low
164,0,Mr,Jovo,Calic,male,17.0,Teenager,0,0,315093,3,S,0,8.6625,medium
165,0,Master,Eino Viljami,Panula,male,1.0,Infant,4,1,3101295,3,S,0,39.6875,very high
166,1,Master,"Frank John William ""Frankie""",Goldsmith,male,9.0,Child,0,2,363291,3,S,0,20.525,high
167,1,Mrs,Edith Martha Bowerman,Chibnall,female,28.0,Young Adult,0,1,113505,1,S,1,55.0,very high
168,0,Mrs,Anna Bernhardina Karlsson,Skoog,female,45.0,Adult,1,4,347088,3,S,0,27.9,high
169,0,Mr,John D,Baumann,male,28.0,Young Adult,0,0,PC 17318,1,S,0,25.925,high
170,0,Mr,Lee,Ling,male,28.0,Young Adult,0,0,1601,3,S,0,56.4958,very high
171,0,Mr,Wyckoff,Van der hoef,male,61.0,Senior,0,0,111240,1,S,1,33.5,very high
172,0,Master,Arthur,Rice,male,4.0,Child,4,1,382652,3,Q,0,29.125,high
173,1,Miss,Eleanor Ileen,Johnson,female,1.0,Infant,1,1,347742,3,S,0,11.1333,medium
174,0,Mr,Antti Wilhelm,Sivola,male,21.0,Young Adult,0,0,STON/O 2 3101280,3,S,0,7.925,low
175,0,Mr,James Clinch,Smith,male,56.0,Middle Aged,0,0,17764,1,C,1,30.6958,high
176,0,Mr,Klas Albin,Klasen,male,18.0,Teenager,1,1,350404,3,S,0,7.8542,low
177,0,Master,Henry Forbes,Lefebre,male,28.0,Young Adult,3,1,4133,3,S,0,25.4667,high
178,0,Miss,Ann Elizabeth,Isham,female,50.0,Adult,0,0,PC 17595,1,C,1,28.7125,high
179,0,Mr,Reginald,Hale,male,30.0,Young Adult,0,0,250653,2,S,0,13.0,medium
180,0,Mr,Lionel,Leonard,male,36.0,Adult,0,0,LINE,3,S,0,14.4542,medium
181,0,Miss,Constance Gladys,Sage,female,28.0,Young Adult,8,2,CA 2343,3,S,0,69.55,very high
182,0,Mr,Rene,Pernot,male,28.0,Young Adult,0,0,SC/PARIS 2131,2,C,0,15.05,high
183,0,Master,Clarence Gustaf Hugo,Asplund,male,9.0,Child,4,2,347077,3,S,0,31.3875,very high
184,1,Master,Richard F,Becker,male,1.0,Infant,2,1,230136,2,S,1,39.0,very high
185,1,Miss,Luise Gretchen,Kink-Heilmann,female,4.0,Child,0,2,315153,3,S,0,22.025,high
186,0,Mr,Hugh Roscoe,Rood,male,28.0,Young Adult,0,0,113767,1,S,1,50.0,very high
187,1,Mrs,"Johanna ""Hannah"" Godfrey",O'Brien,female,28.0,Young Adult,1,0,370365,3,Q,0,15.5,high
188,1,Mr,"Charles Hallace (""Mr C Rolmane"")",Romaine,male,45.0,Adult,0,0,111428,1,S,0,26.55,high
189,0,Mr,John,Bourke,male,40.0,Adult,1,1,364849,3,Q,0,15.5,high
190,0,Mr,Stjepan,Turcin,male,36.0,Adult,0,0,349247,3,S,0,7.8958,low
191,1,Mrs,Rosa,Pinsky,female,32.0,Young Adult,0,0,234604,2,S,0,13.0,medium
192,0,Mr,William,Carbines,male,19.0,Teenager,0,0,28424,2,S,0,13.0,medium
193,1,Miss,Carla Christine Nielsine,Andersen-Jensen,female,19.0,Teenager,1,0,350046,3,S,0,7.8542,low
194,1,Master,Michel M,Navratil,male,3.0,Child,1,1,230080,2,S,1,26.0,high
195,1,Mrs,Margaret Tobin,Brown,female,44.0,Adult,0,0,PC 17610,1,C,1,27.7208,high
196,1,Miss,Elise,Lurette,female,58.0,Middle Aged,0,0,PC 17569,1,C,1,146.5208,very high
197,0,Mr,Robert,Mernagh,male,28.0,Young Adult,0,0,368703,3,Q,0,7.75,low
198,0,Mr,Karl Siegwart Andreas,Olsen,male,42.0,Adult,0,1,4579,3,S,0,8.4042,medium
199,1,Miss,"Margaret ""Maggie""",Madigan,female,28.0,Young Adult,0,0,370370,3,Q,0,7.75,low
200,0,Miss,"Henriette (""Mrs Harbeck"")",Yrois,female,24.0,Young Adult,0,0,248747,2,S,0,13.0,medium
201,0,Mr,Nestor Cyriel,Vande Walle,male,28.0,Young Adult,0,0,345770,3,S,0,9.5,medium
202,0,Mr,Frederick,Sage,male,28.0,Young Adult,8,2,CA 2343,3,S,0,69.55,very high
203,0,Mr,Jakob Alfred,Johanson,male,34.0,Young Adult,0,0,3101264,3,S,0,6.4958,low
204,0,Mr,Gerious,Youseff,male,45.5,Adult,0,0,2628,3,C,0,7.225,low
205,1,Mr,"Gurshon ""Gus""",Cohen,male,18.0,Teenager,0,0,A/5 3540,3,S,0,8.05,medium
206,0,Miss,Telma Matilda,Strom,female,2.0,Infant,0,1,347054,3,S,1,10.4625,medium
207,0,Mr,Karl Alfred,Backstrom,male,32.0,Young Adult,1,0,3101278,3,S,0,15.85,high
208,1,Mr,Nassef Cassem,Albimona,male,26.0,Young Adult,0,0,2699,3,C,0,18.7875,high
209,1,Miss,"Helen ""Ellen""",Carr,female,16.0,Teenager,0,0,367231,3,Q,0,7.75,low
210,1,Mr,Henry,Blank,male,40.0,Adult,0,0,112277,1,C,1,31.0,high
211,0,Mr,Ahmed,Ali,male,24.0,Young Adult,0,0,SOTON/OQ 3101311,3,S,0,7.05,low
212,1,Miss,Clear Annie,Cameron,female,35.0,Young Adult,0,0,FCC 13528,2,S,0,21.0,high
213,0,Mr,John Henry,Perkin,male,22.0,Young Adult,0,0,A/5 21174,3,S,0,7.25,low
214,0,Mr,Hans Kristensen,Givard,male,30.0,Young Adult,0,0,250646,2,S,0,13.0,medium
215,0,Mr,Philip,Kiernan,male,28.0,Young Adult,1,0,367229,3,Q,0,7.75,low
216,1,Miss,Madeleine,Newell,female,31.0,Young Adult,1,0,35273,1,C,1,113.275,very high
217,1,Miss,Eliina,Honkanen,female,27.0,Young Adult,0,0,STON/O2 3101283,3,S,0,7.925,low
218,0,Mr,Sidney Samuel,Jacobsohn,male,42.0,Adult,1,0,243847,2,S,0,27.0,high
219,1,Miss,Albina,Bazzani,female,32.0,Young Adult,0,0,11813,1,C,1,76.2917,very high
220,0,Mr,Walter,Harris,male,30.0,Young Adult,0,0,W/C 14208,2,S,0,10.5,medium
221,1,Mr,Victor Francis,Sunderland,male,16.0,Teenager,0,0,SOTON/OQ 392089,3,S,0,8.05,medium
222,0,Mr,James H,Bracken,male,27.0,Young Adult,0,0,220367,2,S,0,13.0,medium
223,0,Mr,George Henry,Green,male,51.0,Middle Aged,0,0,21440,3,S,0,8.05,medium
224,0,Mr,Christo,Nenkoff,male,28.0,Young Adult,0,0,349234,3,S,0,7.8958,low
225,1,Mr,Frederick Maxfield,Hoyt,male,38.0,Adult,1,0,19943,1,S,1,90.0,very high
226,0,Mr,Karl Ivar Sven,Berglund,male,22.0,Young Adult,0,0,PP 4348,3,S,0,9.35,medium
227,1,Mr,William John,Mellors,male,19.0,Teenager,0,0,SW/PP 751,2,S,0,10.5,medium
228,0,Mr,"John Hall (""Henry"")",Lovell,male,20.5,Young Adult,0,0,A/5 21173,3,S,0,7.25,low
229,0,Mr,Arne Jonas,Fahlstrom,male,18.0,Teenager,0,0,236171,2,S,0,13.0,medium
230,0,Miss,Mathilde,Lefebre,female,28.0,Young Adult,3,1,4133,3,S,0,25.4667,high
231,1,Mrs,Irene Wallach,Harris,female,35.0,Young Adult,1,0,36973,1,S,1,83.475,very high
232,0,Mr,Bengt Edvin,Larsson,male,29.0,Young Adult,0,0,347067,3,S,0,7.775,low
233,0,Mr,Ernst Adolf,Sjostedt,male,59.0,Middle Aged,0,0,237442,2,S,0,13.5,medium
234,1,Miss,Lillian Gertrud,Asplund,female,5.0,Child,4,2,347077,3,S,0,31.3875,very high
235,0,Mr,Robert William Norman,Leyson,male,24.0,Young Adult,0,0,CA 29566,2,S,0,10.5,medium
236,0,Miss,Alice Phoebe,Harknett,female,28.0,Young Adult,0,0,W/C 6609,3,S,0,7.55,low
237,0,Mr,Stephen,Hold,male,44.0,Adult,1,0,26707,2,S,0,26.0,high
238,1,Miss,"Marjorie ""Lottie""",Collyer,female,8.0,Child,0,2,CA 31921,2,S,0,26.25,high
239,0,Mr,Frederick William,Pengelly,male,19.0,Teenager,0,0,28665,2,S,0,10.5,medium
240,0,Mr,George Henry,Hunt,male,33.0,Young Adult,0,0,SCO/W 1585,2,S,0,12.275,medium
241,0,Miss,Thamine,Zabour,female,28.0,Young Adult,1,0,2665,3,C,0,14.4542,medium
242,1,Miss,"Katherine ""Kate""",Murphy,female,28.0,Young Adult,1,0,367230,3,Q,0,15.5,high
243,0,Mr,Reginald Charles,Coleridge,male,29.0,Young Adult,0,0,W/C 14263,2,S,0,10.5,medium
244,0,Mr,Matti Alexanteri,Maenpaa,male,22.0,Young Adult,0,0,STON/O 2 3101275,3,S,0,7.125,low
245,0,Mr,Sleiman,Attalah,male,30.0,Young Adult,0,0,2694,3,C,0,7.225,low
246,0,Dr,William Edward,Minahan,male,44.0,Adult,2,0,19928,1,Q,1,90.0,very high
247,0,Miss,Agda Thorilda Viktoria,Lindahl,female,25.0,Young Adult,0,0,347071,3,S,0,7.775,low
248,1,Mrs,Anna,Hamalainen,female,24.0,Young Adult,0,2,250649,2,S,0,14.5,high
249,1,Mr,Richard Leonard,Beckwith,male,37.0,Adult,1,1,11751,1,S,1,52.5542,very high
250,0,Rev,Ernest Courtenay,Carter,male,54.0,Middle Aged,1,0,244252,2,S,0,26.0,high
251,0,Mr,James George,Reed,male,28.0,Young Adult,0,0,362316,3,S,0,7.25,low
252,0,Mrs,Elna Matilda Persson,Strom,female,29.0,Young Adult,1,1,347054,3,S,1,10.4625,medium
253,0,Mr,William Thomas,Stead,male,62.0,Senior,0,0,113514,1,S,1,26.55,high
254,0,Mr,William Arthur,Lobb,male,30.0,Young Adult,1,0,A/5 3336,3,S,0,16.1,high
255,0,Mrs,Helena Wilhelmina,Rosblom,female,41.0,Adult,0,2,370129,3,S,0,20.2125,high
256,1,Mrs,Hanne Youssef Razi,Touma,female,29.0,Young Adult,0,2,2650,3,C,0,15.2458,high
257,1,Mrs,,Thorne,female,28.0,Young Adult,0,0,PC 17585,1,C,0,79.2,very high
258,1,Miss,Gladys,Cherry,female,30.0,Young Adult,0,0,110152,1,S,1,86.5,very high
